Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol,Days
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,BHARATFORG,114
Keltner Breakout (ATR 1.5),103326.3,3326.3,3.33,1,1,0,100.0,7.32,32.0,0.0,BHARATFORG,114
Bollinger RSI,106141.83,6141.83,6.14,1,0,0,0.0,1.15,1.0,0.0,BHARATFORG,114
Squeeze Breakout,105070.9,5070.9,5.07,2,2,0,100.0,8.35,26.0,0.0,BHARATFORG,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,BHARTIARTL,114
Keltner 5-Rule Retracement,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,BHARTIARTL,114
Keltner + EMA Cross,92788.93,-7211.07,-7.21,1,0,1,0.0,7.21,89.0,0.0,BHARTIARTL,114
Keltner Breakout (ATR 1.5),91028.31,-8971.69,-8.97,3,0,3,0.0,10.68,89.0,0.0,BHARTIARTL,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,BHARTIARTL,114
Squeeze Breakout,102054.68,2054.68,2.05,1,0,0,0.0,1.55,8.0,0.0,BHARTIARTL,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],94743.1,-5256.9,-5.26,1,0,1,0.0,5.38,67.0,0.0,BIRLACORPN,114
Keltner 5-Rule Retracement,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,BIRLACORPN,114
Keltner + EMA Cross,94200.63,-5799.37,-5.8,1,0,1,0.0,6.42,67.0,0.0,BIRLACORPN,114
Keltner Breakout (ATR 1.5),89219.95,-10780.05,-10.78,2,0,2,0.0,10.89,93.0,0.0,BIRLACORPN,114
Bollinger RSI,95462.25,-4537.75,-4.54,1,0,0,0.0,12.21,32.0,0.0,BIRLACORPN,114
Squeeze Breakout,99170.42,-829.58,-0.83,1,0,0,0.0,4.59,5.0,0.0,BIRLACORPN,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],100130.51,130.51,0.13,1,1,0,100.0,10.32,83.0,0.0,BSE,114
Keltner 5-Rule Retracement,100130.51,130.51,0.13,1,1,0,100.0,10.32,83.0,0.0,BSE,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,BSE,114
Keltner Breakout (ATR 1.5),101854.97,1854.97,1.85,1,1,0,100.0,10.25,83.0,0.0,BSE,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,BSE,114
Squeeze Breakout,96752.28,-3247.72,-3.25,2,1,1,50.0,7.52,32.0,0.0,BSE,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],94795.78,-5204.22,-5.2,1,0,1,0.0,5.2,67.0,0.0,CAMS,114
Keltner 5-Rule Retracement,94795.78,-5204.22,-5.2,1,0,1,0.0,5.2,67.0,0.0,CAMS,114
Keltner + EMA Cross,92095.84,-7904.16,-7.9,1,0,1,0.0,9.7,67.0,0.0,CAMS,114
Keltner Breakout (ATR 1.5),96727.93,-3272.07,-3.27,1,0,1,0.0,5.16,67.0,0.0,CAMS,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CAMS,114
Squeeze Breakout,92976.36,-7023.64,-7.02,2,0,1,0.0,7.02,72.0,0.0,CAMS,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],112010.78,12010.78,12.01,2,1,0,50.0,13.06,58.0,0.0,CENTUM,114
Keltner 5-Rule Retracement,101733.03,1733.03,1.73,3,1,1,33.33,21.04,60.0,0.0,CENTUM,114
Keltner + EMA Cross,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CENTUM,114
Keltner Breakout (ATR 1.5),139113.9,39113.9,39.11,2,1,0,50.0,9.21,49.0,0.0,CENTUM,114
Bollinger RSI,100000.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,CENTUM,114
Squeeze Breakout,93838.09,-6161.91,-6.16,2,1,1,50.0,12.07,60.0,0.0,CENTUM,114
Keltner Tuned (ATR 2.0 + EMA)  [LIVE],97834.52,-2165.48,-2.17,1,0,1,0.0,4.62,68.0,0.0,CGPOWER,114
Keltner 5-Rule Retracement,97834.52,-2165.48,-2.17,1,0,1,0.0,4.62,68.0,0.0,CGPOWER,114
